Country,PercentResistant
Argentina,22.47839
Bosnia and Herzegovina,92.36641
Ethiopia,26.66667
Georgia,71.42857
India,63.80236
Indonesia,24.87805
Iran (Islamic Republic of),52.37316
Japan,0.687679
Kosovo,86.66667
Lebanon,64
Nepal,25.24272
North Macedonia,66.66667
Oman,58.18182
Pakistan,28.64322
Philippines,22.28916
Republic of Korea,55.87045
Saudi Arabia,78.27586
South Africa,65.38676
Switzerland,4.958678
Thailand,30.76923
United Arab Emirates,17.64706
Argentina,27.63636
Bosnia and Herzegovina,90.04525
Ethiopia,40
Georgia,55.26316
India,69.63855
Indonesia,32.13115
Iran (Islamic Republic of),68.44106
Japan,0.75188
Kosovo,91.11111
Lebanon,70.21277
Nepal,41.09589
North Macedonia,70.58824
Oman,50.37037
Pakistan,65.2568
Philippines,22.02462
Republic of Korea,59.55556
Saudi Arabia,75.18248
South Africa,70.17659
Switzerland,5.555556
Thailand,26.78937
United Arab Emirates,33.33333
Argentina,26.67732
Bosnia and Herzegovina,94.82759
Ethiopia,13.33333
Georgia,62.5
India,68.42767
Indonesia,38.06452
Iran (Islamic Republic of),79.38389
Japan,0.689655
Kosovo,84.48276
Lebanon,69.23077
Nepal,45.22293
North Macedonia,86.84211
Oman,69.11765
Pakistan,55.89124
Philippines,16.81416
Republic of Korea,56.2212
Saudi Arabia,76.61098
South Africa,61.62701
Switzerland,6.849315
Thailand,31.86275
United Arab Emirates,9.52381
Argentina,41.78905
Bosnia and Herzegovina,98.11321
Ethiopia,26.82927
Georgia,77.05882
India,57.48658
Indonesia,35.60732
Iran (Islamic Republic of),52.76753
Japan,1.670792
Kosovo,84.94624
Lebanon,73.33333
Nepal,44.54976
North Macedonia,93.18182
Oman,77.08333
Pakistan,57.50977
Philippines,24.83974
Republic of Korea,69.0566
Saudi Arabia,67.23164
South Africa,73.94396
Switzerland,12
Thailand,46.0114
United Arab Emirates,18.33333
Argentina,35.83333
Bosnia and Herzegovina,96.18768
Ethiopia,34.28571
Georgia,78.36538
India,61.35337
Indonesia,40.58501
Iran (Islamic Republic of),77.44511
Japan,1.449275
Kosovo,97.14286
Lebanon,70
Nepal,48.2866
North Macedonia,100
Oman,65.35433
Pakistan,49.60762
Philippines,25.17483
Republic of Korea,69.58763
Saudi Arabia,61.1465
South Africa,53.40184
Switzerland,9.090909
Thailand,39.47001
United Arab Emirates,8.450704
