Country,antimicrobial_mg_per_population,Region
Afghanistan,67.54881,Middle East and North Africa
Albania,98.16476,Europe and Central Asia
Algeria,32.77327,Middle East and North Africa
Angola,21.04996,Sub-Saharan Africa
Antigua and Barbuda,416.2051,Latin America and the Caribbean
Argentina,63.10585,Latin America and the Caribbean
Armenia,83.97434,Europe and Central Asia
Australia,165.0609,East Asia and Pacific
Austria,17.48986,Europe and Central Asia
Azerbaijan,94.63444,Europe and Central Asia
Bahamas,49.14106,Latin America and the Caribbean
Bahrain,87.99928,Middle East and North Africa
Bangladesh,93.60142,South Asia
Barbados,65.5506,Latin America and the Caribbean
Belarus,69.55221,Europe and Central Asia
Belgium,40.13702,Europe and Central Asia
Belize,53.91637,Latin America and the Caribbean
Benin,20.84255,Sub-Saharan Africa
Bhutan,109.8058,South Asia
Bolivia,65.82179,Latin America and the Caribbean
Bosnia and Herzegovina,68.36832,Europe and Central Asia
Botswana,20.60346,Sub-Saharan Africa
Brazil,56.25517,Latin America and the Caribbean
Brunei,57.93007,Empty
Bulgaria,74.94107,Europe and Central Asia
Burkina Faso,22.77397,Sub-Saharan Africa
Burundi,19.86454,Sub-Saharan Africa
Cambodia,123.3987,East Asia and Pacific
Cameroon,31.4994,Sub-Saharan Africa
Canada,60.20312,North America
Cape Verde,48.2116,Empty
Central African Republic,20.95825,Sub-Saharan Africa
Chad,27.87495,Sub-Saharan Africa
Chile,119.1085,Latin America and the Caribbean
China,208.4677,East Asia and Pacific
Colombia,55.51907,Latin America and the Caribbean
Comoros,72.72638,Sub-Saharan Africa
Congo,19.53925,Sub-Saharan Africa
Cook Islands,26759.34,East Asia and Pacific
Costa Rica,64.80021,Latin America and the Caribbean
Cote d'Ivoire,17.89455,Empty
Croatia,35.79841,Europe and Central Asia
Cuba,70.6292,Latin America and the Caribbean
Cyprus,234.6739,Europe and Central Asia
Czechia,25.41189,Europe and Central Asia
Congo,20.78166,Sub-Saharan Africa
Denmark,20.45157,Europe and Central Asia
Djibouti,27.14289,Middle East and North Africa
Dominica,139.1235,Latin America and the Caribbean
Dominica,49.51277,Latin America and the Caribbean
East Timor,12.87329,Empty
Ecuador,61.98479,Latin America and the Caribbean
Egypt,14.74742,Middle East and North Africa
El Salvador,45.82882,Latin America and the Caribbean
Guinea,253.9807,Sub-Saharan Africa
Eritrea,25.11639,Sub-Saharan Africa
Estonia,23.34837,Europe and Central Asia
Eswatini,19.69211,Sub-Saharan Africa
Ethiopia,22.08885,Sub-Saharan Africa
Faroe Islands,313.0092,Europe and Central Asia
Fiji,77.76166,East Asia and Pacific
Finland,7.416708,Europe and Central Asia
France,22.00374,Europe and Central Asia
French Polynesia,439.1657,East Asia and Pacific
Gabon,30.53426,Sub-Saharan Africa
