Country,PercentResistant,antimicrobial_mg_per_population,prop_antibiotics_sold_without_prescription,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita
Afghanistan,Empty,67.54881,Empty,0.699351,10.705,20.7,6.861747,37.9778
Albania,Empty,98.16476,Empty,15.18858,14.487,168.8,53.48672,299.4392
Algeria,Empty,32.77327,Empty,6.200712,15.488,29.7,17.83198,150.1204
Andorra,Empty,Empty,Empty,Empty,12.784,114.7,Empty,Empty
Angola,Empty,21.04996,Empty,1.787687,12.168,10.6,23.2699,9.837275
Antigua And Barbuda,Empty,416.2051,Empty,10.50182,15.512,7.8,93.81958,96.43494
Argentina,35.83333,63.10585,Empty,15.86571,18.98,43.7,113.5155,173.3
Armenia,Empty,83.97434,Empty,13.96565,14.406,37.2,57.41648,232.6482
Australia,Empty,165.0609,Empty,7.08362,21.08,37.9,112.2389,212.9982
Austria,Empty,17.48986,Empty,14.76347,16.367,83.6,76.88444,209.2823
Azerbaijan,Empty,94.63444,Empty,9.950293,12.711,33.5,40.7469,157.4239
Bahamas,Empty,49.14106,Empty,13.22104,11.891,6.7,111.461,110.5431
Bahrain,Empty,87.99928,Empty,12.78815,16.3,29.4,84.57268,226.116
Bangladesh,Empty,93.60142,Empty,3.618075,11.946,16.2,4.396264,71.25991
Barbados,Empty,65.5506,Empty,9.825788,16.531,7.4,88.68147,101.45
Belarus,Empty,69.55221,Empty,13.41905,13.982,115.9,98.18464,121.5822
Belgium,Empty,40.13702,Empty,19.33341,18.946,93.9,64.54818,184.0729
Belize,Empty,53.91637,Empty,4.558446,12.427,6.5,52.27622,132.6377
Benin,Empty,20.84255,Empty,0.921924,10.303,11.2,17.28365,10.58757
Bermuda,Empty,Empty,Empty,Empty,Empty,8.4,Empty,Empty
Bhutan,Empty,109.8058,Empty,5.190215,13.064,16.9,15.72094,67.44273
Bolivia,Empty,65.82179,Empty,6.720796,15.022,7.9,80.73052,39.15066
Bosnia And Herzegovina,96.18768,68.36832,Empty,6.00333,13.277,117.6,49.35848,187.1122
